Description,Commenting,Ogling,Groping
girl go schoolit sunday boy comment passingthat veri depress went home rather go school,1,0,0
mate two men way home school told feel like sex,1,0,0
stake indec messag friend north east,1,0,0
bus stop would board bus three car would pass one sometim even follow school,0,0,0
lol happen everyday actual use,1,1,1
like eveteas noth veri great extent two guy tri follow way back home behav indec,1,1,0
pinch return colleg bus c onli becaus two stop becaus told not exact word english could slap hand full bag back also c also pretti crowd even enough space anyth wish stop,0,0,0
come class saw group boy teas girl,1,0,0
group girl us travel public vehicl conductor vehicl teas us,1,0,0
walk road bike came behind pull hand drive full road,0,0,1
touch dtc bus gagan vihar afternoon th august,0,0,1
onc grant road station intent grope elbow man kept oggl till took local train,0,1,1
comment boy take pictur,1,0,0
guy whistlig comment,1,0,0
comment ogl catcal local market area quotwin beer shopsquot specif back area netaji subhash palac complex bylan etc,1,1,0
street harassmenta month ago come back buea bus station guy sudden snacth travel box ask return box start insult not stop gave want insult also,0,1,0
night wit time,1,0,0
colleg friend comment short dress canteen said instig bad thing,1,0,0
three guy comment girl dress style,1,0,0
harass afternoon,1,0,0
two girl ogl chandivali junction,0,1,0
harass,0,0,0
guy whistl,1,1,0
roadsid boy hoot comment,1,1,0
saom women follow men night,0,0,0
passerbi pass leud commentseven time,1,0,0
everi day bridg crowd not walk proper offic time morn daili men take advantag touch women not singl polic personnel look happen continu happen sometim light work bridg difficult walk dark bridg,0,0,1
harass boy comment take pictur whistl,1,0,0
place sector vashi navi mumbai pm got sector bus stop best bus start walk toward home footpath shadi without street light decid walk along road walk someon loud scream footpath quota idhar idhar dekhquot involuntarili turn direct see guy ( labour ) masturb smile shock wait around turn back walk away brisk spot light crowd kept follow sometim found head direct mani peopl turn around went wayi shaken reach home felt fear reflect feel punch good howev run away could think moment,1,0,0
friend sudden guy start whistl went hurriedlyit happen even,0,0,0
girl call boy wink,0,0,0
way town realis neighbour follow kibera place work,0,0,0
stalk comment group men,1,0,0
walk toward hous guy start comment,1,0,0
stare man wait ola cab outsid gate metro station stare linger made thorough uncomfort,0,1,0
peopl follow whistl ask number,1,0,0
travel bus person stand behind fulli touch bodi part point said bus crowd whi happen could feel not becaus rush,0,0,1
comment rangpuri even,1,0,0
woman harass mutengen thiev ( dealer ) money taken,0,1,0
church amn start call sweeti babi great fear becaus approach,1,0,0
public space saw man offens action,0,0,0
day walk friend one boy street shout say size,1,0,0
om sai beach hut not safe femal solo travel owner gaurav bhagat drunk told staff watch see sleep friend ( stay seper room ) call check entir staff give inform activ whereabout bother not hit eventu staff watch report doe not make feel safe fact becaus mani doubt overal safeti place hut bathroom hole wall someon could see insid overlook doubt someon watch slept chang cloth thing requir privaci not recommend place anyon know told,1,1,0
three boy normal sit spot call quotbiasharaquot wait pass comment dress one day whistl ignoredthey insult,1,0,0
poor light walk chan turn war catcal well,0,0,0
street light,0,0,0
incid took place septemb dure morn around ama girl drive twowheelertwo boy hit activa scooti soft touch back swept cloth,0,1,1
travel bus delhi merut highway ( nh ) site somewher middl bus rowposit second column seater side girl age around site next gap walk someth similar positionsa guy age walk passag stood us fill passag gaph face toward girl back portion toward mehi lower part face level girl approx level becaus hi stand girl site push toward girl use bus movement mani timesth girl site face eye close terrifiedi left seat could give place person stand indirect help girl walk littl distanc stood even tough seat vacant man not took seat realli shame wish could done help girl,0,0,1
touched/grop,0,0,1
travel bus teen age boy whistl well comment nonsens,1,0,0
one day travel bus girl sit near behind boy stand pass cheap comment girl know ignor becaus need travel daili,1,0,0
even friend circl group guy stunt comment girl present circl,1,1,0
metro dure even hour guy tri touch,0,0,1
abus ask die,0,0,0
mother sick money buy medicin decid start wash cloth get money man ask wash cloth wash man came touch buttock,0,0,1
around pm bus one guy sudden grab phone ran away,0,0,0
man touch girl bus,0,0,1
peopl includ sister reach destin decid take yellow line metro civil line boy sit see sister start whist sing cheap song,0,1,0
light,0,0,0
report friend mother wit rowdi biker make attempt snatch woman jewelri take routin walk woman rais alarm men came rescu tri chase biker sight right woman traumat resid decad nowher expect report matter polic,0,0,0
incid took place three month ago dure night rooster puba man late indian cloth sat corner ogl girl thereh pass lewd look comment minor,0,1,1
continu comment whistl outsid univers stadium north campus happen afternoon around pm,1,0,0
misbehav,1,0,0
bus group boy start comment look pretti ignor start teas ask number,1,0,0
board matatu makina olymp yoiung ladi dress mini skirt tout togeth gys hang door start talk describ well made,1,0,0
catcal indec exposur,0,0,0
dure night around pm guy ask go place,0,0,0
fate even went visit friend mine began discuss togeth began go anoth level discuss start tell alway want friend himi began ask meant repli want girl friend immedi want sex moment refus insist thank god friend came hous save,0,1,0
man follow wednesday market go tri mislead doe not figur home address spot market,0,0,0
passerbi touch us car even follow us,1,0,1
peopl scare chain snatch wit biker enter residenti area snatch chain purs wom en incid eve taes also increas day,1,0,0
eve teas veri common colleg comment teas etc,1,1,0
follow boy teas follow even main street,1,0,0
girl wit somebodi click pictur although not sure,0,0,0
go church sunday met drunkard old man call ignor start abus say quotmalaya wewequot mean prostitut,1,0,0
girl brutal beaten boy unknown reason one came forward help herit happen novemb even,0,0,0
eve teas use bad word,1,0,0
call terrac greed chocol follow bus stop day,0,0,0
take advantag crowd guy tri touch dure even hour,0,0,1
walk back home sudden group boy group around tri talkit happen even,1,1,0
harass even gk,1,1,0
misbehav,0,0,1
found site recent guy kept walk behind quit time time look back would somehow disappear crowd step later felt someth jab hip spun around practic inch get good look face due shaggi lank hair reach chin quick back befor could rais alarm surpris part bus stand jam pack mani peopl must notic none bother interfer request pleas bewar filthi lout,0,0,1
physic touch man insid public bus,0,0,1
art craft group start send nude pictur girl start line prostitut,1,1,1
man tri sexual assault,0,0,1
market area veri crowd not stop go men boy pass us touch us make excus dont enough place go also comment us,1,0,1
harass bus,0,0,0
men stare start comment sort eve teas,1,1,0
catcal comment touch old delhi,1,0,1
whenev pass area shopkeep comment sometim give sexual invit,1,0,0
biker tri touch breast push fell bike hurt start abus call polic,1,0,1
teacher beat student,0,0,0
one festiv newar saw live harass girl group boy touch part girl,0,0,1
boy lie took friend slept day mum complain threw hous night,0,0,0
boy comment tri grope crowd place,1,0,0
best friend sexual harass neighbor six year old still live next inform anyon,0,1,1
way home school men sit idl whistl refus respond start abus,0,0,0
saw scene mall afternoona girl stand outsid mcdtwo boy came start comment repli start call actress name start whistl,1,1,0
friend molest neighbour inform parent immedi taken task,0,0,1
come back flat job greater noida two boy follow auto say quothow much charg one nightquot,0,0,0
realli bad,1,0,0
boy grope stare like hell,0,0,1
men gang stare day even pass comment make difficult us use block e main road lead home,1,1,0
whenev friend pass boy sit around start comment sing song etc,1,0,0
left friend place went meet friend ladi welcom veri nice continu chat put ponograph video play reali made feel uncomfort sinc friend friend,0,0,0
two guy follow friend metro befor board got outthey stare us throughout,0,0,0
stalk man market street live tri mislead,0,0,0
father brother gopi krishna movi hall ticket counter bit crowdi one guy touch girl girl immedi repli shout later guy felt shame backoff,1,0,1
comment ogl catcal someth usual happen metro,1,1,0
friend rape tuition teacher,1,0,1
local chawl men call name caus seper husband,1,0,0
sexual harass one morn go school friend guy appraoch us start ask name friendunfortun friend spat facewhen come back school guy attack us friend took us dark environ gave us beat ourliv collaps onli woke realis ourselv hospit,0,0,0
survey carri safec ( red dot foundat ) along safeti audit street market mumbai,1,1,1
young girl harass father hous without parent know later discov night man tri kiss gir know whi girl not report parent think inlov man,0,0,0
take advantag crowd dure rush hour,0,0,1
exboyfriend call blackmail girl,0,1,1
case classmat read school one sunday morn unknown man appear widow class wasth man stood long time watch girl read start ask girl question enter class cutlass ask girl undressth girl also play trick escap wound hand man,0,0,0
famili near amus park class th know much sexual harass one person walk past touch inappropri,0,0,1
not feel safe,0,0,0
girl grope peni,0,1,1
articl written last year situat took place bare enter th grade leav high school flashback day time bodi empti canva boy splatter paint tell stori th grader gurgaonquotth stranger lip graze upon end cheek bruis arm pin dusti grey ground room kept alert eye outsid face unknown men uniform smirk stranger slid snakelik finger bodi struggl undo button could feel eye turn red bit hard shoulder small voic said leav dont like felt empti liquor bottl leg hand flesh jerk push asid head buzz alcohol panic manag stand look around realli want straighten press frail bodi upon nake wall not push asid ran toward open hall men age stood rail oblivi act cheek burn forc kiss shame hold shoe hand scurri staircas search known face look run reach cold lobbi offic stare entranc strang glare anxious face shove stiff self close elev seek unfasten pair short settl forc slither finger waist whisper go finger like asshol whimper hop away felt back cloth seek phone wasnt rush panic exhaust fled offic hallway rummag around build explor everi step took earlier search prize possess not eye burn even tear blind vision settl raw cheek behind rush downstair head busi road broad daylight scuttl barefoot search friend late gone stranger behind grab shirt strong hand rip cloth bare back becam expos blink light stare million nameless men cri help nobodi care enough hear ran faster without possess phone money bag whi gaze crowd nearbi came rest staircas tear ran face unknown figur settl around head knew whisper strive punch familiar number phonedo rememb moment child gone astray parent cram market place moment devoid ani thought onli thought worth get back safe rememb worri face moment magnitud shook back forth glanc abund face unabl see delic featur muddl concern men women walk past put forward help hand not trust matter minut agon face rush past stood ran toward open arm world stood still held took accustom smell cologn felt homesick wave crash wall head im scare hes go find said enough know took grey shirt bag walk eyesight alien peopl wear murmur prop hand shoulder pull close rescu friend clutch stranger friend depart curs locat ride end hous held face low voic inaud friend next room ask favour dont anyth stupid said anxious read mind state friend beyond categori wast follow given duti pick marbl floor led toward societi gate wave brief goodby timid walk away mesometim dont need word explain feel sometim know like knew enfold scent shirt felt possibl petrifi episod face made easier breath sometim dont need date love somebodi month feel comfort dont need kiss even around time nervous presenc linger around moment enough demonstr establish brief connect safe even minut sorri glad said word phone formal stand park watch walk toward gate could feel happen may not episod import chang everythingim sorri danc end arm swear world stood imposs stillquoti attempt suicid hour later save live strong tell stori,0,0,0
man regular bus rout got stop touch wrong place felt veri bad,0,0,1
pinch breast water park mehsana gujarat,0,0,1
four boy whistl comment girlsit happen night,1,0,0
walk street guy stand lean gate home whistl call whole time cross homei take road daili except sunday go music classesthi went month final quit music classesi,0,0,0
meet meet went asid talk phone certain man came start urin fenc anoy,0,0,0
age yearstyp harassmentstalk leh market ( day time ) caltcal choglamsar near choglamsar bridg ( even ),0,0,0
father neighbourhood engag sexual activ daughter forc,0,0,0
uncl beat wife street outsid hous one help ladi later went insid assault lock,0,0,0
night guy comment cloth,1,0,0
boy stare catcal go home school,0,0,0
sever girl rescu video den mashimoni villag exploit pornograph film video hall,0,0,0
travel bus man stand behind tri touch,1,1,1
poor street light,0,0,0
amaz rude face given buy guy dure afternoon hour,0,1,0
friend tri kiss forcibl park,0,0,1
report regard survey conduct sexual harass differ form particular area,1,0,1
somebodi tire touch sensit part,1,1,0
boy area make indec pose follow girl scooti speed bike make sound,0,0,0
stick touch bus crowdwhistl walk home,1,0,1
attack tri grab gold chain push,0,0,0
group worker click pictur run park multipl pictur taken call local secur guard snatch phone delet pictur,0,0,0
man tri touch woman,0,0,1
general coach metro ( kashmer gate ) saw group boy pass comment girlit happen even around,1,1,1
around pm got vishwavidyalaya metro station get back hostel saw guy follow minut pull back ask friend touch inappropri shout ran without look back hostel,0,0,1
middl age man comment dress also tri touch way home school,1,0,1
one day travel metro friend afternoon one two person came start comment,1,0,1
walk mall friend middl age man ride bike watch us make inappropri face pass comment us annoy not onli youngster grownup also respect women,1,1,0
girl touch aimless boy school never report teacher,0,0,1
incid took place eveningoutsid mall boy pass lewd comment girl stand alon,1,0,0
teacher hit student chick,0,0,0
drunk men harass,1,0,0
one boy next home alway stare,0,1,0
sexual harass friend attend even schoolon way home took bike park reach hous bike man carri rape plantationit veri touch becaus unabl get found morn taken hospit,0,0,0
saw two boy bike come opposit direct snatch golden chain middl age woman cri loud get back vanish second place,0,0,0
harass metro feeder,0,0,1
incid took place th septemb around pmi go class got car guy push mehe expos privat partsi bash along polic,0,0,0
woman thrown hous babi without food two week depend passersbi babi feed harass take advantag hoodlumsh child expos danger,1,0,0
survey carri safec ( red dot foundat ) along safec audit street market mumbai,0,1,0
one person snatch chain,0,0,0
chain snatch due por street light,0,0,0
sexual abus friendwhen come back villag farm man caught abus sexual,0,0,0
th dec pass group boy call ignor themth persist follow ignor themal sudden start call name,0,0,1
happen minut befor street two guy came bike snatch ladi chain ran away shock happen bright noon public around,0,0,0
one friend molest dure new year eve,0,0,1
stay hostel near incom tax often guy pass lee comment stare girl way make uncomfort mani time,1,1,0
cab driver kept brush leg kept ask number,0,0,1
play hide seek game hide neighbour hous peep bed sex anoth kid report nobodi believ said liar,0,0,0
sing,1,0,0
harass,0,1,1
acid attack,0,0,0
use face almost everyday dure internship period,1,1,0
pass street guy whistl,0,0,0
incid took place th septemb around amit happen park near kanhaiya nagar metro station mother teas unknown person,0,0,0
class return tuition class boy pass lewd comment,1,0,0
uncl harass alon,0,0,1
return home market boy stand near pass vulgar comment,1,0,0
incid happen wednesday market man constant stare follow around told vendor nearbi confront man went away happen even,0,1,0
post sunset get veri dark scar men loiter around feel unsaf,0,0,0
one day friend mine move along roadit th januari stroll along road man approach stop listen man told not interestedth man got annoy pull near push bodi rescu heraft rape girl ran away,0,0,0
number boy wistl comment walk street bhaktpur,1,0,0
vehicl go town kariobangi man seat next start touch breast felt indec alight bus,0,0,1
come back jamia millia wait auto stand group colleg boy pass filthi comment ignor min boy approach said veri bad word made feel like cri live alon jamia hostel not safe ani gir miss parent live bihar studi jamiai sacr sometim cri class tooit veri difficult explain feel even univ student pass filthi commentsit ani disciplin r either classmat see class colleg chang total illitarar,1,1,0
old man came near touch privat bodi part insid tempoo,0,0,1
happen even,1,1,0
black zen estilo tint glass follow throughout way back,0,0,0
construct worker along railway line anytim ladi pass nearbi normal comment catcal whistl face sever time,1,1,0
math teacher tri forc tri molest refus get person tuition,0,0,1
touch grope market,0,1,1
group young men sit roadsid everi even pm late even,0,0,0
saw guy take pictur losar ( new year ) parti villag,0,0,0
guy comment girl,1,0,0
someon felt back dadar station climb staircas stop shout slap,0,0,1
rape park,0,0,1
heard incid know true not heard one old ladi got rape young teen boy,0,0,0
shopkeep make diffrent face,0,1,0
one man came near said breast nice want touch,1,1,0
one girl rent flate n live alon thre taht hous owner rape hersh cri n went polish report happend infort hous,0,0,0
school friend comment wrong,1,0,0
crowd street man grope chest twice attempt third time punch stomach ran away,0,0,1
use experi type categori younger veteran citi field avoid ani issu ogl facial express comment remain unchang yearsin everi place travel not local experi categori assault except rape/sexu assault avoid rape year simpli never situat could lead one learn live like prey anim world full predat,1,1,1
year girl physic harras boy touch breast,0,0,1
friend want take man hous end relationship,0,0,0
friend mine guwahati walk hostel main road via th th street gopalapuram guy motor bike tri pull bike hold scarf wear luckili let go scarf save,0,0,1
woman revolt man take advantag morn rush hour grope,0,1,1
man stalk caught start touch,0,1,0
went work girl friend group boy ( not yrs ) tri divert attent toward ignor went back home luckili follow us,0,0,0
sarjapura road signal bus stop bangalor path bridg veri unsaf placedur past year ( ) night mani hijda stand dress upsuspect sex workersth path bridg veri poor lit upth lack bright light bridg give coverit complet unsaf women walk path night,0,0,0
happen th decemberhttp//epapertimesofindiacom/repository/mlasp refv jufuvmjaxmi xmi xmsnbcjawmza,0,0,0
walk street one man comment,1,1,0
sunday afternoon church way back sibl veri huge man tri pull gown see quotinsidequot tri fight back seem veri strong drunk told say word would slap hard,0,0,0
whikl walk skywalk,0,0,0
friend visit salinadi sankhu two boy follow us start whistl,0,0,0
night ifac everywher delhi not spell,1,1,1
walk tution alon guy start follow comment,1,0,0
slap unknown person went check metreh came slap make believ open meter thave noth els mind pain tear hurri went home report mum,0,0,0
walk friend two guy start comment follow,0,1,0
uncomfort stare walk,0,1,0
guy ( yrs ) grab back general compart metro get,0,0,1
harrass pass comment board train,1,0,0
guy tri touch privat part even,0,0,1
train vellor bhopal,0,0,0
comment,1,0,0
touch indec even morn,0,0,1
friend walk toward shop guy sit car open door car shout indec thingsit happen even,1,0,0
man comment tri call use name,1,0,0
travel crowd bus stand group boy enter bus one boy stand behind tri touch back,0,0,1
year old acuint famili adult marri person would hold touch breast would not know react would alway tri avoid never mention parent anyon becaus shi express thissimilar incid happen year old two men famili acquint would act visit famili,0,0,1
pass lewd comment class,1,0,0
comment bad word even district center,1,0,0
girl come school head home call sweet man went rape man man call one day ran way,0,0,0
wa shop boy stand outsid shop call onto ladi pass came kiss forc,0,0,0
deboard metro rajiv chowk young guy rub twice initi ignor think due overcrowd metro kept repeat could feel bad touch turn back hit hard also give warn never repeat veri common incid rajiv chowk mani friend also prey,0,0,1
misbehaviour guy,1,1,0
girl rape uncl compplain mom tell stay shut endur becaus lost digniti anyway,0,0,0
guy comment make facial express us walk cp happen even night,1,1,1
even make whistl road also follow,0,0,0
comment group boy veri rough word,1,0,0
go friend birthday wear dress men pass veri dirti comment cloth,1,0,0
finish studi boy ask kiss streetswhen refus want intimid ran away,0,0,1
even pm,0,1,0
whistl boy return home tutori class late even,0,0,0
go church certain man came ask name refus start follow,0,0,0
walk home alon group girl teas,1,0,0
lost count number time someon inappropri touch citi centr mani time look perplex not react grate,0,0,1
went friend got late man came bought us drink onli thing rememb woke uthiru pant rip,0,0,0
guy show peni pass realli offens comment,0,0,0
neighborhood boy use touch small girl appropri caught punish,0,0,1
misbehav,0,0,0
man around tri get hold back roadway bus travel back hometown,0,1,1
taxi driver stand outsid jalvayu tower apart flash confront hit ran away doesnt make feel better,0,0,0
stalk call home visit,0,1,0
return home aunti hous boy micro bus comment touch,1,0,1
happen station wait train man start touch stare us women,0,0,1
frequent travel mumbai local train like mumbai women take harbour line train goe mahim cst seen mani time pm train get empti presenc rpf personnel railway look increas secur rout,0,0,0
murder boyfriend want break,0,0,0
shop friend boy start comment us,1,0,0
one man tri come close,1,0,1
touch metro,0,0,1
walk crowd patan found someon touch bodyit crowd feast festiv go,0,0,1
one guy purpos touch ran away,0,0,1
physic abus public vehicl st night time bus veri pack,0,0,1
man sit next bus tri take pictur phone,0,0,0
father friend ( uncl ) use stare use make uncomfort,0,1,0
friend pass mashimoni area men normal sit kiosk near railway chew mirror cale whistl,0,0,0
regular even walk gang start follow pass inappropri comment start take pictur,1,0,1
man known disturb girl one day sent market mother around pm met man way forc stand refus touch breast,0,0,1
survey carri safec ( red dot foundat ) along safeti audit street market mumbai,0,0,1
pass group boy stand side road suspect shout quothey beautyquot,1,0,0
survey carri safec ( red dot foundat ) along safeti audit street market mumbai,1,1,1
guy actual came face said quotter ko kacha chuba jaungaquotsick made numb,1,0,0
whistl area ( indira nagar ),0,0,0
onc travel local bus saw one guy pass negat comment young ladi alon feel embarrass,1,0,0
onc boy girl silent road boy comment girl enjoy silent road wherea girl veri scare walk fast,1,0,0
push crowd comment groupsit happen even,1,0,0
guy touch inappropri place,1,1,1
gone wednesday market afternoon way back man follow back home got scare ran inform brother brother beat made apolog,0,0,0
report terribl incid happen girl know friend girl stay friend place gone meet boyfriend boyfriend trap invit friend took turn rape near toilet complex sanjay camp girl,0,0,0
market area went collect medicin guy bike snatch wallet anyth,0,0,0
harass communiti ( indira nagar ),1,0,0
man make us girl game club go play mess alittl beat buttock start touch breast,0,0,1
travel street polic stare girl gossip nonsens girl,0,1,0
street light road dim lit felt someon follow check right,0,0,0
area never safe girl day night ladi go even back hous face unnatur stare men disturb,0,1,0
know girl studi class stare boy stare would eat,0,1,0
know happen girl women face everyday men walk toward bump basic tri kinda physic touch say anyth blame place crowd never meant anyth obvious girl come know someth done purpos happen mistak hurri stop everi step slap man tri yes frequent happen everi step crash man walk toward,0,0,1
get back school afternoon boy gang comment confront got abus argument dure slap one boy stun apolog behavior,0,0,0
relat mine touch veri indec manner time backof cours disguish cute hug elder give young one left harass,1,1,1
go toward new delhi railway metro station guy ask go hotel,1,0,0
ogl whistl,0,1,0
ladi call bring cigarret man privat car brought cigarett man give money cling ladi hand talk low tone ladi realiz man hidden intens remov hand leav moneh man drop money drove away faster,0,0,1
comment etc common even,1,0,1
touch stare sexual invit comment,1,1,1
man grope public pretext bump,0,0,1
friend go road guy car pass make commentsit happen afternoon,1,1,0
friend enter lift old man alreadi insid old man tri kiss friend,0,0,1
near grm school,1,0,0
everyday makind street sexual harass sexual invit comment catcal occur littl children also victim heard rape issu spot one reason lack street light harass hide dark commit evil,1,1,1
time felt uncomfort trvell public vehicl touch,0,0,1
station veri unsaf light veri dim sign bad damag women access emerg escap rout lot harass happen due presenc loiter stare women pass lewd remark,0,0,0
boy group start stare whistl,0,0,0
one call ask phone number name,0,0,0
friend went partyw given alcohol friend got drunk guy took advantag helpless state rape could not help hersh later got pregnant due,0,0,0
classroom somebodi use phone sent porn video phone even left note watch someon love,0,0,0
one man tri hug girl behind,0,1,1
colleg go shop felt miser unsaf stranger stalk also took pictur incid lyk must stop polic strict rule,0,0,0
sexual harassementit happen friend minesh visit guy ask outth guy invit housea enter guy close door put music veri high volumeaft forc bed rape,1,0,0
saw man touch girl privat part insid bus,0,0,1
incid took place even deep cinema market ashok vihara girl come institut attend class boy stand exit start whistl also ask number,0,0,0
happen dure afternoon even metro,1,1,1
lot auto driver metro station often misbehav talk rude even abus verbal feel veri unsaf sinc travel alon often due work colleg get late,1,1,1
old man shop comment us buy thing shop,1,0,0
get amut metro station found boy stand outsid metro station ogl pass comment,1,1,0
stare bad intens pass street even face comment teas boy make feel uncomfort,1,0,0
friend random stranger comment someth bad,1,0,0
friend brother use call ani time day propos refus start threatn like say yes face consequ like uthwalunga goli maar dunga lot,0,0,0
